"","service","years","censor"
"346","salloon",3,"interval"
"347","salloon",3,"interval"
"348","salloon",3,"interval"
"349","salloon",3,"interval"
"350","salloon",3,"interval"
"351","salloon",3,"interval"
"352","salloon",3,"interval"
"353","salloon",3,"interval"
"354","salloon",3,"interval"
"355","salloon",3,"interval"
"356","salloon",3,"interval"
"357","salloon",3,"interval"
"358","salloon",3,"interval"
"359","salloon",3,"interval"
"360","salloon",3,"interval"
"361","salloon",3,"interval"
"362","salloon",3,"interval"
"363","salloon",3,"interval"
"364","salloon",3,"interval"
"365","salloon",3,"interval"
"366","salloon",3,"interval"
"367","salloon",3,"interval"
"368","salloon",3,"interval"
"369","salloon",3,"interval"
"370","salloon",3,"interval"
"371","salloon",3,"interval"
"372","salloon",3,"interval"
"373","salloon",3,"interval"
"374","salloon",3,"interval"
"375","salloon",3,"interval"
"376","salloon",3,"interval"
"377","salloon",3,"interval"
"378","salloon",3,"interval"
"379","salloon",3,"interval"
"380","salloon",3,"interval"
"381","salloon",3,"interval"
"382","salloon",3,"interval"
"383","salloon",3,"interval"
"384","salloon",3,"interval"
"385","salloon",3,"interval"
"386","salloon",3,"interval"
"387","salloon",3,"interval"
"388","salloon",3,"interval"
"389","salloon",3,"interval"
"390","salloon",3,"interval"
"391","salloon",3,"interval"
"392","salloon",4,"interval"
"393","salloon",4,"interval"
"394","salloon",4,"interval"
"395","salloon",4,"interval"
"396","salloon",4,"interval"
"397","salloon",4,"interval"
"398","salloon",4,"interval"
"399","salloon",4,"interval"
"400","salloon",4,"interval"
"401","salloon",4,"interval"
"402","salloon",4,"interval"
"403","salloon",4,"interval"
"404","salloon",4,"interval"
"405","salloon",4,"interval"
"406","salloon",4,"interval"
"407","salloon",4,"interval"
"408","salloon",4,"interval"
"409","salloon",4,"interval"
"410","salloon",4,"interval"
"411","salloon",4,"interval"
"412","salloon",4,"interval"
"413","salloon",4,"interval"
"414","salloon",4,"interval"
"415","salloon",4,"interval"
"416","salloon",4,"interval"
"417","salloon",4,"interval"
"418","salloon",4,"interval"
"419","salloon",4,"interval"
"420","salloon",4,"interval"
"421","salloon",4,"interval"
"422","salloon",4,"interval"
"423","salloon",4,"interval"
"424","salloon",4,"interval"
"425","salloon",4,"interval"
"426","salloon",4,"interval"
"427","salloon",4,"interval"
"428","salloon",4,"interval"
"429","salloon",4,"interval"
"430","salloon",4,"interval"
"431","salloon",4,"interval"
"432","salloon",4,"interval"
"433","salloon",4,"interval"
"434","salloon",5,"interval"
"435","salloon",5,"interval"
"436","salloon",5,"interval"
"437","salloon",5,"interval"
"438","salloon",5,"interval"
"439","salloon",5,"interval"
"440","salloon",5,"interval"
"441","salloon",5,"interval"
"442","salloon",5,"interval"
"443","salloon",5,"interval"
"444","salloon",5,"interval"
"445","salloon",5,"interval"
"446","salloon",5,"interval"
"447","salloon",5,"interval"
"448","salloon",5,"interval"
"449","salloon",5,"interval"
"450","salloon",5,"interval"
"451","salloon",5,"interval"
"452","salloon",5,"interval"
"453","salloon",5,"interval"
"454","salloon",5,"interval"
"455","salloon",5,"interval"
"456","salloon",5,"interval"
"457","salloon",5,"interval"
"458","salloon",5,"interval"
"459","salloon",5,"interval"
"460","salloon",5,"interval"
"461","salloon",5,"interval"
"462","salloon",5,"interval"
"463","salloon",6,"interval"
"464","salloon",6,"interval"
"465","salloon",6,"interval"
"466","salloon",6,"interval"
"467","salloon",6,"interval"
"468","salloon",6,"interval"
"469","salloon",6,"interval"
"470","salloon",6,"interval"
"471","salloon",6,"interval"
"472","salloon",6,"interval"
"473","salloon",6,"interval"
"474","salloon",6,"interval"
"475","salloon",6,"interval"
"476","salloon",6,"interval"
"477","salloon",6,"interval"
"478","salloon",6,"interval"
"479","salloon",6,"interval"
"480","salloon",6,"interval"
"481","salloon",6,"interval"
"482","salloon",6,"interval"
"483","salloon",6,"interval"
"484","salloon",6,"interval"
"485","salloon",6,"interval"
"486","salloon",6,"interval"
"487","salloon",6,"interval"
"488","salloon",7,"interval"
"489","salloon",7,"interval"
"490","salloon",7,"interval"
"491","salloon",7,"interval"
"492","salloon",7,"interval"
"493","salloon",7,"interval"
"494","salloon",7,"interval"
"495","salloon",7,"interval"
"496","salloon",7,"interval"
"497","salloon",7,"interval"
"498","salloon",7,"interval"
"499","salloon",7,"interval"
"500","salloon",7,"interval"
"501","salloon",7,"interval"
"502","salloon",7,"interval"
"503","salloon",7,"interval"
"504","salloon",7,"interval"
"505","salloon",7,"interval"
"506","salloon",7,"interval"
"507","salloon",7,"interval"
"508","salloon",7,"interval"
"509","salloon",7,"interval"
"510","salloon",7,"interval"
"511","salloon",7,"interval"
"512","salloon",8,"interval"
"513","salloon",8,"interval"
"514","salloon",8,"interval"
"515","salloon",8,"interval"
"516","salloon",8,"interval"
"517","salloon",8,"interval"
"518","salloon",8,"interval"
"519","salloon",8,"interval"
"520","salloon",8,"interval"
"521","salloon",8,"interval"
"522","salloon",8,"interval"
"523","salloon",8,"interval"
"524","salloon",8,"interval"
